[ORB-SLAM3] solving the global RGB-D trajectory from the complete short-baseline scan
[108/267] RGB-D 124->125: fitness=0.344, rmse=0.4 mm, 0.11s
[109/267] RGB-D 125->126: fitness=0.345, rmse=0.4 mm, 0.11s
[110/267] RGB-D 126->127: fitness=0.347, rmse=0.4 mm, 0.10s
[111/267] RGB-D 127->128: fitness=0.337, rmse=0.4 mm, 0.11s
[112/267] RGB-D 128->129: fitness=0.342, rmse=0.3 mm, 0.12s
[113/267] RGB-D 129->130: fitness=0.346, rmse=0.3 mm, 0.11s
[114/267] RGB-D 130->131: fitness=0.336, rmse=0.4 mm, 0.12s
[115/267] RGB-D 131->132: fitness=0.346, rmse=0.3 mm, 0.11s
[116/267] RGB-D 132->133: fitness=0.347, rmse=0.3 mm, 0.11s
[117/267] RGB-D 133->134: fitness=0.341, rmse=0.4 mm, 0.11s
[118/267] RGB-D 134->135: fitness=0.336, rmse=0.4 mm, 0.12s
[119/267] RGB-D 135->136: fitness=0.345, rmse=0.3 mm, 0.10s
[120/267] RGB-D 136->137: fitness=0.344, rmse=0.3 mm, 0.11s
[121/267] RGB-D 137->138: fitness=0.351, rmse=0.3 mm, 0.11s
[122/267] RGB-D 138->139: fitness=0.348, rmse=0.4 mm, 0.11s
[123/267] RGB-D 139->140: fitness=0.349, rmse=0.4 mm, 0.11s
[124/267] RGB-D 140->141: fitness=0.353, rmse=0.3 mm, 0.11s
[125/267] RGB-D 141->142: fitness=0.351, rmse=0.4 mm, 0.11s
[126/267] RGB-D 142->143: fitness=0.355, rmse=0.3 mm, 0.11s
[127/267] RGB-D 143->144: fitness=0.352, rmse=0.3 mm, 0.10s
[128/267] RGB-D 144->145: fitness=0.350, rmse=0.6 mm, 0.10s
[129/267] RGB-D 145->146: fitness=0.364, rmse=0.3 mm, 0.11s
[130/267] RGB-D 146->147: fitness=0.366, rmse=0.3 mm, 0.11s
[131/267] RGB-D 147->148: fitness=0.354, rmse=0.3 mm, 0.11s
[132/267] RGB-D 148->149: fitness=0.357, rmse=0.3 mm, 0.11s
[133/267] RGB-D 149->150: fitness=0.350, rmse=0.3 mm, 0.10s
[134/267] RGB-D 150->151: fitness=0.355, rmse=0.3 mm, 0.11s
[135/267] RGB-D 151->152: fitness=0.351, rmse=0.3 mm, 0.11s
[136/267] RGB-D 152->153: fitness=0.347, rmse=0.4 mm, 0.10s
[137/267] RGB-D 153->154: fitness=0.347, rmse=0.3 mm, 0.10s
[138/267] RGB-D 154->155: fitness=0.360, rmse=0.3 mm, 0.11s
[139/267] RGB-D 155->156: fitness=0.357, rmse=0.5 mm, 0.11s
[140/267] RGB-D 156->157: fitness=0.354, rmse=0.3 mm, 0.12s
[141/267] RGB-D 157->158: fitness=0.350, rmse=0.4 mm, 0.11s
[142/267] RGB-D 158->159: fitness=0.351, rmse=0.3 mm, 0.11s
[143/267] RGB-D 159->160: fitness=0.347, rmse=0.6 mm, 0.12s
[144/267] RGB-D 160->161: fitness=0.346, rmse=0.3 mm, 0.12s
[145/267] RGB-D 161->162: fitness=0.347, rmse=0.4 mm, 0.12s
[146/267] RGB-D 162->163: fitness=0.344, rmse=0.3 mm, 0.10s
[147/267] RGB-D 163->164: fitness=0.348, rmse=0.3 mm, 0.11s
[148/267] RGB-D 164->165: fitness=0.345, rmse=0.3 mm, 0.11s
[149/267] RGB-D 165->166: fitness=0.348, rmse=0.3 mm, 0.10s
[150/267] RGB-D 166->167: fitness=0.347, rmse=0.3 mm, 0.10s
[151/267] RGB-D 167->168: fitness=0.346, rmse=0.3 mm, 0.11s
[152/267] RGB-D 168->169: fitness=0.346, rmse=0.5 mm, 0.11s
[153/267] RGB-D 169->170: fitness=0.350, rmse=0.3 mm, 0.11s
[154/267] RGB-D 170->171: fitness=0.346, rmse=0.3 mm, 0.11s
[155/267] RGB-D 171->172: fitness=0.348, rmse=0.3 mm, 0.11s
[156/267] RGB-D 172->173: fitness=0.340, rmse=0.4 mm, 0.10s
[157/267] RGB-D 173->174: fitness=0.336, rmse=0.3 mm, 0.11s
[158/267] RGB-D 174->175: fitness=0.342, rmse=0.4 mm, 0.10s
[159/267] RGB-D 175->176: fitness=0.344, rmse=0.4 mm, 0.11s
[160/267] RGB-D 176->177: fitness=0.341, rmse=0.3 mm, 0.11s
[161/267] RGB-D 177->178: fitness=0.336, rmse=0.5 mm, 0.11s
[162/267] RGB-D 178->179: fitness=0.336, rmse=0.3 mm, 0.11s
[163/267] RGB-D 179->180: fitness=0.332, rmse=0.5 mm, 0.11s
[164/267] RGB-D 180->181: fitness=0.340, rmse=0.3 mm, 0.11s
[165/267] RGB-D 181->182: fitness=0.341, rmse=0.3 mm, 0.11s
